"id","user_id","training_data_id","algorithm","training_arg","status","progress","estimated_completion","created_at","updated_at","fail_reason","evaluation_demo","meta"
"367f735f-1c04-47e1-8862-cce5230a693a","2c7feb38-6297-453e-b453-641a91a453e6","6a94951d-4f22-4eff-ae08-67caa932c88a",TALKINGHEAD,"{""v"":2,""lv"":1,""model"":""lora""}",PUBLISHED,1.0,2025-03-05 09:03:03.000,2025-03-05 09:03:03.000,2025-03-05 09:27:07.000,"",http://th.cs.com/result/da989d0eda07409bb350050d37475591.mp4,"{""virtualmanId"":""300eb86e9255418cb1f8e48127490ea7"",""currentStep"":""video_demo_generated"",""demoGenerationTaskId"":""da989d0eda07409bb350050d37475591""}"
f8b7b256-a5d9-42e6-a104-b9c92a8bd912,"2c7feb38-6297-453e-b453-641a91a453e6","3cdce380-4063-403a-b911-953bcfaf266e",TALKINGHEAD,"{""v"":2,""lv"":1,""model"":""lora""}",PUBLISHED,1.0,2025-03-05 08:12:03.000,2025-03-05 08:12:03.000,2025-03-05 08:45:20.000,"",http://th.cs.com/result/721dcc45f0704e46bc6559aee54af3d6.mp4,"{""virtualmanId"":""ebf41425943948f687ba65ec5f628141"",""currentStep"":""video_demo_generated"",""demoGenerationTaskId"":""721dcc45f0704e46bc6559aee54af3d6""}"
a1a8dfe5-46bd-4c6a-8e0d-4c06d38654f1,"2c7feb38-6297-453e-b453-641a91a453e6",a21780d8-4ca3-4748-adbf-37b220d177d5,TALKINGHEAD,"{""v"":2,""lv"":1,""model"":""lora""}",PUBLISHED,1.0,2025-03-05 05:46:03.000,2025-03-05 05:46:03.000,2025-03-05 06:14:22.000,"",http://th.cs.com/result/c8fc308ac482446089c76cb2d488dad8.mp4,"{""virtualmanId"":""c94a8eeb43b747e98efd17302fdd888f"",""currentStep"":""video_demo_generated"",""demoGenerationTaskId"":""c8fc308ac482446089c76cb2d488dad8""}"
d99bbc86-88ab-42af-afb4-b5b4bfa144aa,"2c7feb38-6297-453e-b453-641a91a453e6","00a2a2f6-8655-4c18-94c3-ef6e3cdf357a",TALKINGHEAD,"{""v"":2,""lv"":1,""model"":""lora""}",PUBLISHED,1.0,2025-03-05 05:41:02.000,2025-03-05 05:41:02.000,2025-03-05 06:08:53.000,"",http://th.cs.com/result/02ca89173f49497a9ddd0d0c2cfe0bea.mp4,"{""virtualmanId"":""f6a620e00a7142e49d97d7114475e99d"",""currentStep"":""video_demo_generated"",""demoGenerationTaskId"":""02ca89173f49497a9ddd0d0c2cfe0bea""}"
fcf5c869-6ed6-4c81-94bb-d6502dbfcf78,"2c7feb38-6297-453e-b453-641a91a453e6",dba44164-7aaf-4714-b252-22da6ccfbc3b,TALKINGHEAD,"{""v"":2,""lv"":1,""model"":""lora""}",PUBLISHED,1.0,2025-03-05 03:58:03.000,2025-03-05 03:58:03.000,2025-03-05 04:24:19.000,"",http://th.cs.com/result/30d4da1059cb46f8bec12c596831f536.mp4,"{""virtualmanId"":""e7d0cf5b72e548c7b56151c14c36f06c"",""currentStep"":""video_demo_generated"",""demoGenerationTaskId"":""30d4da1059cb46f8bec12c596831f536""}"
bc7b2e2c-1847-4b6c-aeb9-6b04232e72d6,"2c7feb38-6297-453e-b453-641a91a453e6","0484aa7e-aacb-4b64-a77e-8717b26fac80",TALKINGHEAD,"{""v"":2,""lv"":1,""model"":""lora""}",PUBLISHED,1.0,2025-03-05 03:36:03.000,2025-03-05 03:36:03.000,2025-03-05 04:04:16.000,"",http://th.cs.com/result/fb8f9812922f46cfa67a20c36b6f108c.mp4,"{""virtualmanId"":""1ee99827b8cb47f39879ffb77c411f2c"",""currentStep"":""video_demo_generated"",""demoGenerationTaskId"":""fb8f9812922f46cfa67a20c36b6f108c""}"
"2870f9c6-50b2-4794-b3ba-c17661e55742","2c7feb38-6297-453e-b453-641a91a453e6","841c41c5-6a95-423a-9048-b07c004cea8e",TALKINGHEAD,"{""v"":2,""lv"":1,""model"":""lora""}",PUBLISHED,1.0,2025-03-05 02:40:03.000,2025-03-05 02:40:03.000,2025-03-05 04:21:12.000,"Resource generation failed with status Fail_Fail 9a939309c9234c10af65281dc369f633 资源包生成失败, 详情: CUDA error: CUDA-capable device(s) is/are busy or unavailableCUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.For debugging consider passing CUDA_LAUNCH_BLOCKING=1.Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.",http://th.cs.com/result/9753e7c1c52343b68f962c3ae3b8f9dd.mp4,"{""virtualmanId"":""9a939309c9234c10af65281dc369f633"",""currentStep"":""video_demo_generated"",""demoGenerationTaskId"":""9753e7c1c52343b68f962c3ae3b8f9dd""}"
b566484e-bbc4-48ef-8050-4fac56315e66,"2c7feb38-6297-453e-b453-641a91a453e6",dc81020a-f95e-42c9-90ce-ca87448a960c,TALKINGHEAD,"{""v"":2,""lv"":1,""model"":""lora""}",PUBLISHED,1.0,2025-03-05 02:28:03.000,2025-03-05 02:28:03.000,2025-03-05 03:13:35.000,"",http://th.cs.com/result/559c90868a0947bfbb9eb73a2e301870.mp4,"{""virtualmanId"":""901cc96073594113bb6519d6ea7ab1fb"",""currentStep"":""video_demo_generated"",""demoGenerationTaskId"":""559c90868a0947bfbb9eb73a2e301870""}"
"5a7a403c-e96a-4e8a-bcd5-6d554a451f0b","2c7feb38-6297-453e-b453-641a91a453e6",df657c1c-8e32-4e3c-b4f4-47fe696f81b7,TALKINGHEAD,"{""v"":2,""lv"":1,""model"":""lora""}",PUBLISHED,1.0,2025-03-04 10:26:39.000,2025-03-04 10:26:39.000,2025-03-04 11:11:58.000,"",http://th.cs.com/result/d2b5b48783f24747b8a4d107d1664cb7.mp4,"{""virtualmanId"":""7ca00cea44ea4ef78a777e8d5e9981c3"",""currentStep"":""video_demo_generated"",""demoGenerationTaskId"":""d2b5b48783f24747b8a4d107d1664cb7""}"
"2c5819aa-0112-40ec-bdf9-9bf189c0e5b1","2c7feb38-6297-453e-b453-641a91a453e6","8407645c-57fe-48de-8a7c-4f6dee47f138",TALKINGHEAD,"{""v"":2,""lv"":1,""model"":""lora""}",PUBLISHED,1.0,2025-03-03 10:01:03.000,2025-03-03 10:01:03.000,2025-03-03 10:25:04.000,"",http://th.cs.com/result/ca08c6d03853414e9618db0c89d98e72.mp4,"{""virtualmanId"":""7823a0699d0b490696f1a8e8a7726675"",""currentStep"":""video_demo_generated"",""demoGenerationTaskId"":""ca08c6d03853414e9618db0c89d98e72""}"
"5022935e-7ccb-43a1-b088-550ead51e020","2c7feb38-6297-453e-b453-641a91a453e6",fc132fe1-6dc4-43e2-870d-32cda8bc73a0,TALKINGHEAD,"{""v"":2,""lv"":1,""model"":""lora""}",PUBLISHED,1.0,2025-02-28 03:59:42.000,2025-02-28 03:59:42.000,2025-02-28 05:06:33.000,"",http://th.cs.com/result/376948f29458431ca8adecb143775c10.mp4,"{""virtualmanId"":""ee4644cb1a2d4d398032117fbeadb1c2"",""currentStep"":""video_demo_generated"",""demoGenerationTaskId"":""376948f29458431ca8adecb143775c10""}"
e3ec0882-e422-425b-b287-a2561518b10e,"2c7feb38-6297-453e-b453-641a91a453e6","6c51e837-28b1-48e0-92a4-cc2b8cc06287",TALKINGHEAD,"{""v"":2,""lv"":1,""model"":""lora""}",PUBLISHED,1.0,2025-02-25 10:29:13.000,2025-02-25 10:29:13.000,2025-02-25 10:55:54.000,"",http://th.cs.com/result/1ae4fa14d9aa43388d5de275039fa877.mp4,"{
  ""virtualmanId"": ""a915c33a2da849efa21e8185c8d4b0e7"",
  ""currentStep"": ""video_demo_generated"",
  ""demoGenerationTaskId"": ""729df3f8c8524f40b181a9a566d383b4""
}"
"7e9fcfc7-4ad9-42b8-8dea-bc76a5c2078f","2c7feb38-6297-453e-b453-641a91a453e6","05991991-14a4-444f-b285-132f94941876",TALKINGHEAD,"{""v"":2,""lv"":1,""model"":""lora""}",PUBLISHED,1.0,2025-02-11 03:35:33.000,2025-02-11 03:35:33.000,2025-02-11 04:01:28.000,"",http://th.cs.com/result/75b57c42e6aa46c7b84e50c69ed7a9fd.mp4,"{""virtualmanId"":""ac86f85585f04f799b03de6ea77b640b"",""currentStep"":""video_demo_generated"",""demoGenerationTaskId"":""75b57c42e6aa46c7b84e50c69ed7a9fd""}"
"94fee589-b595-4c44-ae42-37769b67d32c","2c7feb38-6297-453e-b453-641a91a453e6","025a30b2-7808-4274-8575-297519333e63",TALKINGHEAD,"{""v"":2,""lv"":1,""model"":""lora""}",PUBLISHED,1.0,2025-02-10 11:49:03.000,2025-02-10 11:49:03.000,2025-02-10 12:02:59.000,"",http://th.cs.com/result/aa4af44b940b41b586803b556293e486.mp4,"{""virtualmanId"":""782c7ea887e340519ee2277c2e761da0"",""currentStep"":""video_demo_generated"",""demoGenerationTaskId"":""aa4af44b940b41b586803b556293e486""}"
"14f5b06a-71ce-4d47-a456-8decae0e2aa7","2c7feb38-6297-453e-b453-641a91a453e6",aa96b58e-2568-4277-9acd-76093af20327,TALKINGHEAD,"{""v"":2,""lv"":1,""model"":""lora""}",PUBLISHED,1.0,2025-01-20 02:36:49.000,2025-01-20 02:36:49.000,2025-01-20 03:01:04.000,"",http://th.cs.com/result/4ea5c7ee983c4d42a3544553f42d42d6.mp4,"{""virtualmanId"":""e3214e6cb36a4c6ebb9b02b3d0b34609"",""currentStep"":""video_demo_generated"",""demoGenerationTaskId"":""4ea5c7ee983c4d42a3544553f42d42d6""}"
"39639ab9-f19f-42f3-9c25-4c1d75d99b19","2c7feb38-6297-453e-b453-641a91a453e6",f887af2f-0fe1-4670-8130-0a7aff899ed0,TALKINGHEAD,"{""v"":2,""lv"":0.95,""model"":""lora""}",PUBLISHED,1.0,2025-01-07 07:37:00.000,2025-01-07 07:37:00.000,2025-01-07 08:15:19.000,"",http://th.cs.com/result/60324a238ba2435f93087ad29d8e3aca.mp4,"{""virtualmanId"":""d8d136d8634b4062a6c5a96dcffa8545"",""currentStep"":""video_demo_generated"",""demoGenerationTaskId"":""60324a238ba2435f93087ad29d8e3aca""}"
